,benzodiazepines,opiates,sleepmedications,stimulants
4013,0.162426249968,0.172905362869,0.0183384475771,0.149327358842
4025,0.710789307833,0.805561215544,0.331701676989,1.08987693868
6001,0.185397190306,0.132426564504,0.033106641126,0.0926985951528
6019,0.290182169918,0.18270729217,0.0859799021979,0.107474877747
6037,0.313690183076,0.316745606937,0.0896257665931,0.166011363121
6059,0.202642188376,0.15945614823,0.0298980277932,0.146168135878
6065,0.0959061325578,0.0639374217052,0.00913391738646,0.109607008637
6067,0.126868848623,0.119820579255,0.0281930774718,0.162110195463
6073,0.177688007643,0.216456300219,0.0775365851531,0.197072153931
6075,0.683030419691,0.32288710749,0.335305842394,0.198699758456
6107,2.19368174427,1.49260819713,0.497536065711,1.04030268285
8031,0.187051728416,0.303959058677,0.0545567541215,0.109113508243
9007,1.62968685869,1.81076317632,0.422511407808,1.08645790579
11001,0.581662991111,1.0303744414,0.299140966857,0.282522024254
12057,0.219650414163,0.227785614688,0.073216804721,0.154568809967
12086,0.244348440877,0.156222773675,0.0360514093097,0.292416986623
12095,0.279242833058,0.287969171591,0.0872633853307,0.296695510124
12105,1.06295518149,0.896868434383,0.083043373554,0.548086265456
13121,0.510547143597,0.586586079878,0.217254103658,0.369331976219
17031,0.381159552811,0.238705982569,0.0770019298609,0.284907140485
17163,0.481381639364,2.62908433806,0.222176141245,0.925733921853
20039,236.406619385,607.902735562,67.5447483958,239.783856805
22009,2.37682123927,14.2609274356,0.713046371782,3.32754973498
22071,0.552600275137,0.814358300202,0.174505350043,0.465347600115
24013,2.09412806491,1.73513468235,0.478657843407,1.91463137363
24510,0.305977348014,0.660266908872,0.112728496637,0.225456993273
25027,0.237930654485,0.300543984612,0.050090664102,0.237930654485
26073,7.96461435622,4.69343345991,1.42225256361,8.3912901253
26163,0.274637149398,0.203231490555,0.0439419439037,0.236187948482
27053,0.27767533679,0.242965919691,0.104128251296,0.234288565416
27097,8.13302006145,7.22935116573,3.61467558287,9.03668895717
29095,0.2669997241,0.341166314128,0.163166498061,0.237333088089
32003,0.405278744902,0.38189727885,0.194845550434,0.311752880694
34029,1.02329824634,0.815169789461,0.312192685325,0.884545941755
36029,0.456998607242,0.174094707521,0.0652855153203,0.282903899721
36047,0.271489599553,0.135744799776,0.0678723998882,0.151714776221
36053,4.49334168459,4.62950355382,0.680809346151,3.26788486152
36061,1.5070563658,1.45030528926,0.561205090193,1.02151937766
37037,6.14124872057,5.66884497284,2.04708290686,2.99189040233
37119,0.173983393285,0.304470938249,0.0869916966426,0.206605279526
39035,0.195293886051,0.343717239451,0.101552820747,0.249976174146
39049,0.232075598196,0.275052560825,0.0773585327321,0.257861775774
39061,0.261723336,0.261723336,0.0747780960001,0.286649368
39089,2.70283256853,2.16226605483,1.44151070322,2.16226605483
40027,0.821098316748,0.586498797677,0.234599519071,0.742898477058
40027,0.821098316748,0.586498797677,0.234599519071,0.742898477058
41051,0.303959058677,0.405278744902,0.0779382201735,0.288371414642
42003,0.326971556744,0.220705800802,0.171660067291,0.261577245395
42027,1.23384635366,1.8182998896,0.584453535944,0.84421066303
42101,0.262122167279,0.360417980008,0.0917427585475,0.314546600734
45019,0.285543775288,0.371206907875,0.428315662933,0.656750683163
48029,0.186613621745,0.145791891988,0.0641484324747,0.215772000142
48083,138.279932546,130.410342889,46.0933108488,95.5593029792
48113,0.282922581825,0.211136255093,0.092899952241,0.240695330806
48201,0.210142606193,0.166159270013,0.0684185229467,0.217473162223
48439,0.315085288613,0.226640295318,0.0497503087283,0.138195302023
48453,0.41981282206,0.283129577668,0.205024866587,0.478391355371
49035,0.23308778183,0.184527827282,0.0971199090958,0.155391854553
53033,0.346925745981,0.295145783894,0.139805897634,0.38834971565
55079,0.305992708932,0.327095654376,0.0422058908872,0.41150743615
55097,3.28482269098,1.8566389123,0.285636755738,3.42764106885
